Organization Name,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
Northern Arc,"Chennai, Tamil Nadu, India",Active,For Profit,41,22,,2,11,13,"Financial Services, Other","Enterprise, Finance, Financial Services",13,,9/29/2021,1000000000,INR,13454865,Debt Financing,Corporate Round,,,,447083209,USD,447083209,,5.362,"2,888.67",123,,,,"LeapFrog Investments, Standard Chartered Bank, Kotak Mahindra Bank, Eight Roads Ventures, Affirma Capital"
Ledger,"Paris, Ile-de-France, France",Active,For Profit,1,,,,5,50,"Financial Services, Information Technology, Other, Payments, Privacy and Security, Software","Cryptocurrency, Cyber Security, Infrastructure, SaaS",8,Late Stage Venture,6/10/2021,380000000,USD,380000000,Series C,Series C,380000000,USD,380000000,467959856,USD,467959856,15,"6,448,799","6,221,553.67",569,,,,"Digital Currency Group, Animoca Brands, Bpifrance, Draper Associates, Uphold"
MongoDB,"New York, New York, United States",Active,For Profit,,,,,9,17,"Data and Analytics, Internet Services, Software","Cloud Computing, Database, Open Source, SaaS, Software",12,IPO,3/6/2018,,,,Post-IPO Equity,Post-IPO Equity,,,,311000000,USD,311000000,62,"11,579,318","9,487,584",743,85050625,USD,85050625,"Sequoia Capital, Goldman Sachs, Union Square Ventures, Fidelity, T. Rowe Price"
Greenlight,"Atlanta, Georgia, United States",Active,For Profit,,,,,5,29,"Financial Services, Payments","Debit Cards, Finance, Financial Services, FinTech, Payments",6,Late Stage Venture,9/7/2021,,,,Secondary Market,Series D,260000000,USD,260000000,556500000,USD,556500000,,"3,868,018","870,100.33",336,,,,"Andreessen Horowitz, JP Morgan Chase, Goodwater Capital, Wells Fargo, Evolution VC Partners"
IRI,"Chicago, Illinois, United States",Active,For Profit,1,,,,2,2,"Artificial Intelligence, Commerce and Shopping, Data and Analytics, Design, Financial Services, Other, Software","Analytics, Consumer, Finance, Market Research, Predictive Analytics, Price Comparison, Retail",3,M&A,11/20/2018,,,,Private Equity,Private Equity,,,,181040000,USD,181040000,4,422.871,"267,081.67",2.087,322049,USD,322049,"New Mountain Capital, Vestar Capital Partners"
Gro Intelligence,"New York, New York, United States",Active,For Profit,,,,,4,11,"Agriculture and Farming, Artificial Intelligence, Data and Analytics, Design, Information Technology, Science and Engineering, Software","Agriculture, Artificial Intelligence, Big Data, Data Visualization, Information Technology, SaaS",5,Early Stage Venture,1/8/2021,85000000,USD,85000000,Series B,Series B,85000000,USD,85000000,115309000,USD,115309000,,75.851,27.679,363,,,,"DCVC, GGV Capital, Intel Capital, Bossa Nova Investimentos, One Planet Group"
Pacaso,"San Francisco, California, United States",Active,For Profit,,,,,4,24,"Commerce and Shopping, Financial Services, Real Estate","Marketplace, Property Management, Real Estate, Real Estate Investment, Residential",7,Late Stage Venture,9/14/2021,125000000,USD,125000000,Series C,Series C,125000000,USD,125000000,1467000000,USD,1467000000,,261.306,"140,386.17",493,,,,"Alumni Ventures, Gaingels, 75 & Sunny, Fifth Wall, SoftBank Vision Fund"
Lumafield,"Somerville, Massachusetts, United States",Active,,,,,,3,6,,,3,,4/13/2022,32500000,USD,32500000,Undisclosed,Undisclosed,32500000,USD,32500000,32500000,USD,32500000,,,,,,,,"Lux Capital, LAUNCH, DCVC, Dylan Field, Haystack"
Rakuten,"Tokyo, Tokyo, Japan",Active,For Profit,74,39,5,24,1,5,"Commerce and Shopping, Consumer Electronics, Financial Services, Hardware, Internet Services, Payments","E-Commerce, Electronics, FinTech, Internet, Payments",3,IPO,3/12/2021,2.42E+11,JPY,2220183516,Post-IPO Equity,Post-IPO Equity,2.42E+11,JPY,2220183516,2262583516,USD,2262583516,8,,,,,,,"Tencent, Walmart, Intel Capital, MVI (MENA Venture Investments), Japan Post Holdings"
Kroger,"Cincinnati, Ohio, United States",Active,For Profit,3,1,,,1,1,"Commerce and Shopping, Food and Beverage, Internet Services, Transportation","E-Commerce, Grocery, Internet, Logistics, Retail",1,IPO,2/18/2020,550000000,USD,550000000,Post-IPO Equity,Post-IPO Equity,550000000,USD,550000000,550000000,USD,550000000,1,,,,,,,Berkshire Hathaway
Huntress,"Ellicott City, Maryland, United States",Active,For Profit,,,,,3,9,"Information Technology, Privacy and Security, Software","Cyber Security, Information Technology, Software",4,Early Stage Venture,5/6/2021,40000000,USD,40000000,Series B,Series B,40000000,USD,40000000,59760000,USD,59760000,3,74.595,"87,845.5",299,,,,"Highland Capital Partners, SaaS Ventures, JMI Equity, Forgepoint Capital, Blu Venture Investors"
Instoried,"Bangalore, Karnataka, India",Active,For Profit,,,,,6,14,"Information Technology, Software","Information Technology, Software",8,Early Stage Venture,4/7/2022,200000000,USD,200000000,Debt Financing,Series A,10000000,USD,10000000,219500000,USD,219500000,1,69.468,"22,981.5",1.029,,,,"Venture Catalysts, EXPERT DOJO, 9Unicorns Accelerator Fund, Mumbai Angels, Artesian VC"
Rebel Foods,"Mumbai, Maharashtra, India",Active,For Profit,4,3,,,11,23,"Apps, Commerce and Shopping, Food and Beverage, Mobile, Software, Transportation","E-Commerce, Food Delivery, Food Processing, Mobile Apps",23,Late Stage Venture,11/26/2021,14500000,USD,14500000,Series F,Series F,14500000,USD,14500000,534517794,USD,534517794,,17.393,"14,036.33",610,,,,"Sequoia Capital, Goldman Sachs, Gojek, Coatue, Sequoia Capital India"
JP Morgan,"New York, New York, United States",Active,For Profit,107,38,7,36,,,"Financial Services, Lending and Investments, Payments","Banking, Credit Cards, Finance, Financial Services, Wealth Management",,,,,,,,,,,,,,,32,"3,430,787","3,292,398.33",552,,,,
Medikabazaar,"Mumbai, Maharashtra, India",Active,For Profit,,,,,7,16,"Commerce and Shopping, Health Care, Other","B2B, Health Care, Marketplace, Medical Device",8,Late Stage Venture,4/12/2022,4940000000,INR,64872005,Series D,Series D,4940000000,INR,64872005,177021827,USD,177021827,,20.922,"148,146.5",131,,,,"HealthQuad, CDC Group, Rebright Partners, Lighthouse Funds, MITSUI SUMITOMO INSURANCE Venture Capital (MSIVC)"
Intercom,"San Francisco, California, United States",Active,For Profit,,,,,5,33,"Apps, Information Technology, Internet Services, Messaging and Telecommunications, Other, Professional Services, Sales and Marketing, Software","Apps, CRM, Customer Service, Marketing Automation, Messaging, SaaS, Sales Automation, Software",8,Late Stage Venture,1/30/2021,,,,Secondary Market,Series D,125000000,USD,125000000,240750000,USD,240750000,40,"57,662,140","12,835,285.17",1.247,1708333,USD,1708333,"500 Startups, GV, Index Ventures, Bessemer Venture Partners, Vulcan Capital"
Newton School,"Bengaluru, Karnataka, India",Active,,,,,,3,20,"Education, Software",E-Learning,4,Early Stage Venture,4/12/2022,1884000000,INR,24740659,Series B,Series B,1884000000,INR,24740659,30820660,USD,30820660,,697.566,"608,712.17",975,,,,"SAMA Trust, AngelList, Nexus Venture Partners, Kunal Shah, Sujeet Kumar"
Natural Fiber Welding,"Peoria, Illinois, United States",Active,For Profit,,,,,6,24,"Manufacturing, Sustainability","Manufacturing, Sustainability, Textiles",8,Early Stage Venture,4/12/2022,85000000,USD,85000000,Series B,Series B,85000000,USD,85000000,155569429,USD,155569429,,2.786,"3,502.67",66,,,,"Tidal Impact, Gaingels, Advantage Capital, National Science Foundation, Evolution VC Partners"
Medtronic,"Minneapolis, Minnesota, United States",Active,For Profit,74,25,13,24,2,3,"Biotechnology, Health Care, Manufacturing, Science and Engineering","Biotechnology, Health Care, Health Diagnostics, Manufacturing, Medical, Medical Device, Therapeutics",5,IPO,6/15/2020,337000000,USD,337000000,Post-IPO Equity,Post-IPO Equity,337000000,USD,337000000,367044995,USD,367044995,8,"3,537,746","3,447,807.67",410,32184,USD,32184,"Advantage Capital, Blackstone Life Sciences, Trade Capital Funding"
Krafton,"Seongnam, Kyonggi-do, South Korea",Active,For Profit,11,7,,3,1,4,"Gaming, Mobile, Platforms, Software","Gaming, iOS, Mobile, Video Games",4,IPO,6/13/2018,500000000,USD,500000000,Secondary Market,Venture - Series Unknown,70000000000,KRW,61031963,574280722,USD,574280722,1,"1,923,732","1,722,518.17",383,,,,"Tencent, Altos Ventures, IMM Investment, Premier Partners"
Nasuni,"Boston, Massachusetts, United States",Active,For Profit,,,,,9,12,"Hardware, Information Technology, Internet Services, Software","Cloud Data Services, Cloud Storage, Data Storage, Enterprise Software, File Sharing, Information Technology, SaaS",14,,3/24/2022,60000000,USD,60000000,Venture - Series Unknown,Venture - Series Unknown,60000000,USD,60000000,247000000,USD,247000000,7,24.603,"12,514.33",44,1954536,USD,1954536,"Goldman Sachs, Flybridge, Silicon Valley Bank, Sixth Street, Dell Technologies Capital"
PTC,"Needham, Massachusetts, United States",Active,For Profit,4,1,,3,1,1,"Design, Hardware, Software","3D Technology, CAD, Enterprise Software, Product Design, Software",1,IPO,6/11/2018,1000000000,USD,1000000000,Post-IPO Equity,Post-IPO Equity,1000000000,USD,1000000000,1000000000,USD,1000000000,23,"1,962,404","2,372,359.83",1.857,112528258,USD,112528258,Rockwell Automation
Parallel Finance,"San Francisco, California, United States",Active,For Profit,,,,,2,15,"Financial Services, Software","Financial Services, FinTech, Software",3,,4/2/2022,5000000,USD,5000000,Venture - Series Unknown,Venture - Series Unknown,5000000,USD,5000000,29000000,USD,29000000,,200.145,"481,130.83",316,,,,"Blockchain Capital, Polychain, Slow Ventures, Coinbase Ventures, Lightspeed Venture Partners"
Hopper,"Montr̩al, Quebec, Canada",Active,For Profit,,,,,8,22,"Apps, Artificial Intelligence, Data and Analytics, Mobile, Software, Travel and Tourism","Apps, Big Data, Mobile Apps, Predictive Analytics, Travel",11,Late Stage Venture,2/2/2022,35000000,USD,35000000,Secondary Market,Series G,175000000,USD,175000000,633679549,USD,633679549,2,"5,682,096","1,707,589",513,775313,USD,775313,"Citi, Goldman Sachs, Brightspark Ventures, OMERS Ventures, Khaira Capital"
Obsidian Security,"Newport Beach, California, United States",Active,For Profit,,,,,5,6,"Consumer Electronics, Hardware, Information Technology, Privacy and Security, Software","Computer, Cyber Security, Network Security, SaaS",3,Late Stage Venture,3/31/2022,90000000,USD,90000000,Series C,Series C,90000000,USD,90000000,119500000,USD,119500000,3,25.428,"7,199.33",774,118827,USD,118827,"Greylock, Norwest Venture Partners, GV, Menlo Ventures, Wing Venture Capital"
Juniper Square,"San Francisco, California, United States",Active,For Profit,,,,,3,9,"Financial Services, Real Estate, Software","Commercial Real Estate, Enterprise Software, Finance, Financial Services, FinTech, Productivity Tools, Real Estate Investment, SaaS, Software",4,Late Stage Venture,11/21/2019,75000000,USD,75000000,Series C,Series C,75000000,USD,75000000,108000000,USD,108000000,,103.694,60.828,544,652243,USD,652243,"Redpoint, Ribbit Capital, Precursor Ventures, OVO Fund, Zigg Capital"
Rocket Lab,"Huntington Beach, California, United States",Active,For Profit,,,,,5,14,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Aerospace, Electronics, Industrial Manufacturing",7,IPO,9/24/2021,24350000,USD,24350000,Grant,Post-IPO Equity,470000000,USD,470000000,709350000,USD,709350000,1,148.445,"200,197.83",254,,,,"Neuberger Berman Group, BlackRock, Bessemer Venture Partners, DCVC, Khosla Ventures"
Planet,"San Francisco, California, United States",Active,For Profit,,,,,4,33,"Data and Analytics, Navigation and Mapping, Science and Engineering, Software","Aerospace, Analytics, Big Data, Geospatial, Software",8,IPO,12/8/2021,200000000,USD,200000000,Post-IPO Equity,Post-IPO Equity,200000000,USD,200000000,573898658,USD,573898658,6,615.374,"480,276.67",430,14079319,USD,14079319,"Google, Lux Capital, BlackRock, Founders Fund, RedSeal"
GOQii,"Menlo Park, California, United States",Active,For Profit,,,,,12,31,"Community and Lifestyle, Consumer Electronics, Hardware, Sports","Consumer Electronics, Fitness, Lifestyle",15,Late Stage Venture,3/29/2022,10000000,USD,10000000,Series C,Series C,10000000,USD,10000000,112618192,USD,112618192,3,399.662,"291,222.83",1.109,,,,"Animoca Brands, Galaxy Digital, BlackSoil, Venture Catalysts, 9Unicorns Accelerator Fund"
Lightning Labs,,Active,For Profit,,,,,2,32,"Consumer Electronics, Financial Services, Hardware, Software","Computer, Financial Services, Software",3,Early Stage Venture,4/5/2022,70000000,USD,70000000,Series B,Series B,70000000,USD,70000000,82500000,USD,82500000,,2.485,,0,,,,"Digital Currency Group, NYDIG, M13, RRE Ventures, Slow Ventures"
Microsoft,"Redmond, Washington, United States",Active,For Profit,168,65,2,47,1,1,"Platforms, Software","Developer Tools, Enterprise Software, Operating Systems, Software",1,IPO,9/1/1981,1000000,USD,1000000,Venture - Series Unknown,Venture - Series Unknown,1000000,USD,1000000,1000000,USD,1000000,794,"977,774,793","867,936,735.33",533,24214894608,USD,24214894608,Technology Venture Investors
Omni,"San Francisco, California, United States",Closed,For Profit,,,,,1,37,"Apps, Commerce and Shopping, Mobile, Software","Apps, Marketplace, Mobile",4,Early Stage Venture,1/16/2018,25000000,USD,25000000,Series B,Series B,25000000,USD,25000000,35250000,USD,35250000,1,809,,0,,,,"8VC, Founders Fund, Bolt, Flybridge, Kevin Lin"
Northvolt,"Stockholm, Stockholms Lan, Sweden",Active,For Profit,1,,,,11,47,"Consumer Electronics, Energy, Hardware, Manufacturing, Sustainability","Battery, Clean Energy, CleanTech, Electronics, Manufacturing",9,,6/9/2021,2750000000,USD,2750000000,Venture - Series Unknown,Venture - Series Unknown,2750000000,USD,2750000000,6040092593,USD,6040092593,,136.915,"105,046.83",359,,,,"Goldman Sachs, Bpifrance, Siemens, Baillie Gifford, InnoEnergy"
LambdaTest,"San Francisco, California, United States",Active,For Profit,,,,,5,13,"Data and Analytics, Design, Hardware, Internet Services, Software","Cloud Infrastructure, Developer Tools, Usability Testing",6,Late Stage Venture,3/29/2022,45000000,USD,45000000,Series C,Series C,45000000,USD,45000000,70000000,USD,70000000,,886.205,"784,642.5",435,,,,"Sequoia Capital India, Surge, Wamda Capital, Ramakant Sharma, Blume Ventures"
Neiman Marcus Group,"Dallas, Texas, United States",Active,For Profit,2,1,1,,1,1,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design","Fashion, Lifestyle, Retail, Shoes",1,M&A,4/5/2022,200000000,USD,200000000,Corporate Round,Corporate Round,200000000,USD,200000000,200000000,USD,200000000,1,12.966,10.305,3,,,,Farfetch
Reliance Retail,"Mumbai, Maharashtra, India",Active,For Profit,2,2,,,8,8,"Commerce and Shopping, Consumer Goods, Food and Beverage","Consumer Goods, Grocery, Retail",6,Private Equity,11/6/2020,95550000000,INR,1291545211,Private Equity,Private Equity,95550000000,INR,1291545211,6419310306,USD,6419310306,,635.443,"410,797.67",270,,,,"Silver Lake, Saudi Arabia's Public Investment Fund, TPG, Mubadala, General Atlantic"
Gympass,"New York, New York, United States",Active,For Profit,,,,,4,13,"Administrative Services, Health Care, Sports","Employee Benefits, Fitness, Human Resources, Wellness",7,,12/23/2021,5410314,USD,5410314,Venture - Series Unknown,Venture - Series Unknown,5410314,USD,5410314,525410314,USD,525410314,1,"2,013,500","1,677,938.33",478,,,,"SoftBank Vision Fund, Atomico, General Atlantic, Valor Capital Group, Kaszek"
GoTo Group,"Jakarta, Jakarta Raya, Indonesia",Active,For Profit,,,,,1,10,"Information Technology, Transportation","Delivery Service, Information Technology, Same Day Delivery",1,IPO,10/20/2021,1300000000,USD,1300000000,Private Equity,Private Equity,1300000000,USD,1300000000,1300000000,USD,1300000000,,700.84,"122,233.33",512,,,,"Tencent, Google, Temasek Holdings, Primavera Capital Group, Abu Dhabi Investment Authority"
Moveworks,"Mountain View, California, United States",Active,For Profit,,,,,5,10,"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Other, Science and Engineering, Software","Artificial Intelligence, Cloud Computing, Information Technology, Technical Support",3,Late Stage Venture,6/30/2021,200000000,USD,200000000,Series C,Series C,200000000,USD,200000000,305000000,USD,305000000,4,87.717,"57,409.83",599,2039549,USD,2039549,"Tiger Global Management, Bain Capital, Lightspeed Venture Partners, Kleiner Perkins, Bain Capital Ventures"
Lineage Logistics,"Novi, Michigan, United States",Active,For Profit,6,,1,,2,15,"Food and Beverage, Transportation","Food Delivery, Food Processing, Logistics, Supply Chain Management, Warehousing",5,Private Equity,1/4/2022,1700000000,USD,1700000000,Private Equity,Private Equity,1700000000,USD,1700000000,8700000000,USD,8700000000,,95.318,"104,333.5",982,8234887,USD,8234887,"Morgan Stanley, Stonepeak Infrastructure Partners, Rabobank, D1 Capital Partners, Healthcare of Ontario Pension Plan (HOOPP)"
MCaffeine,"Mumbai, Maharashtra, India",Active,For Profit,,,,,4,10,"Consumer Goods, Health Care","Beauty, Consumer Goods, Wellness",5,Late Stage Venture,3/29/2022,2400000000,INR,31717943,Series C,Series C,2400000000,INR,31717943,37499574,USD,37499574,,604.903,706.563,250,,,,"RPSG Capital Ventures, Paragon Partners, India, Singularity Growth Opportunities Fund, Amicus Capital, Sharrp Ventures"
OneWeb,"London, England, United Kingdom",Active,For Profit,,,,,7,16,"Hardware, Internet Services, Science and Engineering","Aerospace, Internet, Satellite Communication, Telecommunications",8,M&A,8/12/2021,300000000,USD,300000000,Corporate Round,Corporate Round,300000000,USD,300000000,4700000000,USD,4700000000,1,,,,28752092,USD,28752092,"SoftBank, Qualcomm, Qualcomm Ventures, Airbus, SoftBank Capital"
Rupifi,"Bengaluru, Karnataka, India",Active,For Profit,,,,,8,19,"Financial Services, Lending and Investments, Mobile, Payments, Software","Credit, Financial Services, FinTech, Mobile Payments",9,Early Stage Venture,3/22/2022,610000000,INR,8015542,Debt Financing,Series A,25000000,USD,25000000,38797032,USD,38797032,,5.068,"8,257.83",310,,,,"Tiger Global Management, Quona Capital, Google for Startups, Bessemer Venture Partners, Kunal Shah"
Meituan,"Beijing, Beijing, China",Active,For Profit,54,22,,2,3,20,"Commerce and Shopping, Food and Beverage, Internet Services, Sales and Marketing, Transportation","E-Commerce, Food Delivery, Internet, Local Business",8,IPO,4/19/2021,6588000000,USD,6588000000,Post-IPO Equity,Post-IPO Equity,6588000000,USD,6588000000,17288000000,USD,17288000000,,,,,,,,"Tencent, IDG Capital, Baillie Gifford, Coatue, Temasek Holdings"
IFS,"Link̦ping, Ostergotlands Lan, Sweden",Active,For Profit,,,,,4,4,"Financial Services, Software","Asset Management, Enterprise Resource Planning (ERP), Enterprise Software, Software",3,M&A,3/30/2022,,,,Secondary Market,Private Equity,,,,3423121819,USD,3423121819,11,"4,103,436","1,104,031.5",497,,,,"EQT, TA Associates, Hg, Zobito"
Notarize,"Boston, Massachusetts, United States",Active,For Profit,,,,,5,19,"Professional Services, Software","Legal, Legal Tech, Software",9,Late Stage Venture,3/27/2022,,,,Secondary Market,Series D,130000000,USD,130000000,213337968,USD,213337968,,716.221,"822,575.83",875,,,,"Wells Fargo, Fifth Wall, Jon Oringer, Realogy Holdings, Lennar Corporation"
NoBroker,"Bengaluru, Karnataka, India",Active,For Profit,,,,,9,15,"Apps, Mobile, Real Estate, Software","Commercial Real Estate, Mobile Apps, Property Management, Real Estate, Software",12,Late Stage Venture,11/23/2021,15750000000,INR,211559154,Series E,Series E,15750000000,INR,211559154,426011717,USD,426011717,,"6,354,491","7,368,366",734,,,,"Tiger Global Management, Elevation Capital, General Atlantic, BEENEXT, SAIF Partners"
HelloFresh,"Berlin, Berlin, Germany",Active,For Profit,1,1,,,5,8,"Food and Beverage, Other, Transportation","Delivery Service, Food and Beverage, Food Delivery, Subscription Service",6,IPO,12/20/2016,85000000,EUR,88321782,Series G,Series G,85000000,EUR,88321782,367459141,USD,367459141,3,"19,709,089","9,538,487.17",378,,,,"Insight Partners, Baillie Gifford, Rocket Internet, HV Capital, Kinnevik"
Hulu,"Los Angeles, California, United States",Active,For Profit,,,,,3,3,"Content and Publishing, Media and Entertainment, Video","Content, Film, TV, Video, Video Streaming",3,M&A,8/3/2016,583000000,USD,583000000,Undisclosed,Undisclosed,583000000,USD,583000000,683000000,USD,683000000,12,"193,876,680","154,633,800.67",454,,,,"The Walt Disney Company, Providence Equity Partners, WarnerMedia"
Qure AI,"Mumbai, Maharashtra, India",Active,For Profit,,,,,4,6,"Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence, Health Care, Health Diagnostics, Machine Learning, Medical Device",3,,3/30/2022,40000000,USD,40000000,Venture - Series Unknown,Venture - Series Unknown,40000000,USD,40000000,60331847,USD,60331847,1,18.824,"13,540.5",237,,,,"Sequoia Capital India, Novo Holdings, HealthQuad, MassMutual Ventures, MassMutual Ventures Southeast Asia (MMV SEA)"
Noogata,"Tel Aviv-yafo, Tel Aviv, Israel",Active,For Profit,,,,,2,4,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence, Enterprise Software, Information Technology, Machine Learning",2,Early Stage Venture,4/12/2022,16000000,USD,16000000,Series A,Series A,16000000,USD,16000000,28000000,USD,28000000,,202,2.46,0,,,,"Team8, Eight Roads Ventures, Inference Partners, Allon Ventures"
Miso Robotics,"Pasadena, California, United States",Active,For Profit,,,,,,9,"Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence, Consumer Electronics, Machine Learning, Robotics",9,Seed,12/14/2021,541872,USD,541872,Seed,Seed,541872,USD,541872,79299425,USD,79299425,,16.077,"32,535.83",15,,,,"Crowdcube, SeedInvest, Meyer Global Management, Knockout Capital, Acacia Research"
Plex,"Los Gatos, California, United States",Active,For Profit,,,,,2,5,"Apps, Content and Publishing, Media and Entertainment, Mobile, Other, Software, Video","Digital Media, Media and Entertainment, Mobile Apps, Subscription Service, Video Streaming",6,,2/7/2022,20000000,USD,20000000,Venture - Series Unknown,Venture - Series Unknown,20000000,USD,20000000,81000000,USD,81000000,6,"33,015,045","32,401,021",547,125017,USD,125017,"Kleiner Perkins, Patrick Peterson, Klass Capital, Scott Banister, Intercap"
Rapid7,"Boston, Massachusetts, United States",Active,For Profit,1,,,,2,2,"Data and Analytics, Information Technology, Privacy and Security, Professional Services, Software","Analytics, Cyber Security, Enterprise Software, Risk Management",4,IPO,12/17/2014,30000000,USD,30000000,Series D,Series D,30000000,USD,30000000,89000000,USD,89000000,56,"1,984,219","1,374,959.5",963,59279009,USD,59279009,"TCV, Bain Capital Ventures"
On Deck,"San Francisco, California, United States",Active,For Profit,23,3,5,,2,36,"Community and Lifestyle, Professional Services","Business Development, Communities, Consulting, Professional Networking",4,Early Stage Venture,3/25/2021,20000000,USD,20000000,Series A,Series A,20000000,USD,20000000,20000000,USD,20000000,,116.065,96.727,959,,,,"Alumni Ventures, Founders Fund, DCVC, Dylan Field, Scott Belsky"
Remitly,"Seattle, Washington, United States",Active,For Profit,,,,,8,29,"Financial Services, Payments","Financial Services, FinTech, Payments",13,IPO,5/11/2021,,,,Corporate Round,Corporate Round,,,,505000000,USD,505000000,1,"9,487,580","5,738,484.83",360,1050614,USD,1050614,"Techstars, Goldman Sachs, Barclays, PayU, QED Investors"
Health IQ,"Mountain View, California, United States",Active,For Profit,,,,,5,13,"Financial Services, Health Care","Health Care, Life Insurance, Pharmaceutical",4,Late Stage Venture,5/8/2019,55000000,USD,55000000,Series D,Series D,55000000,USD,55000000,136500000,USD,136500000,,109.322,"104,875.5",280,419209,USD,419209,"Andreessen Horowitz, Greylock, Menlo Ventures, Ribbit Capital, Rock Health"
Partake Foods,"Jersey City, New Jersey, United States",Active,For Profit,,,,,4,15,"Community and Lifestyle, Food and Beverage, Health Care","Food and Beverage, Health Care, Lifestyle, Wellness",8,,4/15/2022,2898900,USD,2898900,Venture - Series Unknown,Venture - Series Unknown,2898900,USD,2898900,9772407,USD,9772407,,129.741,113.272,631,5926,USD,5926,"SoFi, Marcy Venture Partners, CircleUp, Backstage Capital, Shawn Carter"
Hive,"San Francisco, California, United States",Active,For Profit,,,,,4,12,"Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence, Computer Vision, Machine Learning, Software, Speech Recognition",5,Late Stage Venture,4/21/2021,50000000,USD,50000000,Series D,Series D,50000000,USD,50000000,120700000,USD,120700000,1,80.686,"56,420.17",1.687,,,,"General Catalyst, 8VC, Bracket Capital, Founders Fund, Eniac Ventures"
JD Logistics,"Beijing, Beijing, China",Active,For Profit,4,3,,1,,12,Transportation,"Delivery Service, Logistics, Supply Chain Management",3,IPO,3/24/2022,1090000000,USD,1090000000,Post-IPO Equity,Post-IPO Equity,1090000000,USD,1090000000,3590000000,USD,3590000000,,236.055,"204,033.83",538,,,,"Tencent, Hillhouse Capital Group, Sequoia Capital China, K3 Ventures, K11 Investment"
Lattice,"San Francisco, California, United States",Active,For Profit,,,,,6,21,"Administrative Services, Apps, Information Technology, Software","Enterprise Applications, Human Resources, Management Information Systems, Productivity Tools, Software",9,Late Stage Venture,1/19/2022,128000000,GBP,174191845,Series F,Series F,128000000,GBP,174191845,328511845,USD,328511845,2,300.696,"259,169.33",303,,,,"Y Combinator, Tiger Global Management, Founders Fund, Shasta Ventures, Elad Gil"
Nearpod,"Dania, Florida, United States",Active,For Profit,,,,,2,21,"Apps, Education, Hardware, Mobile, Software","E-Learning, EdTech, Education, Mobile Apps, Skill Assessment, Virtual Reality",5,M&A,3/1/2017,21000000,USD,21000000,Series B,Series B,21000000,USD,21000000,30700000,USD,30700000,1,"8,525,303","8,126,120.33",793,1319847,USD,1319847,"Reach Capital, Insight Partners, Miami Angels, Storm Ventures, Emerson Collective"
Osso VR,"San Francisco, California, United States",Active,For Profit,,,,,5,13,"Education, Hardware, Health Care, Software","Medical, Medical Device, Training, Virtual Reality",7,Late Stage Venture,3/24/2022,66000000,USD,66000000,Series C,Series C,66000000,USD,66000000,109222596,USD,109222596,,17.916,"7,760.67",118,,,,"Tiger Global Management, National Science Foundation, GSR Ventures, SignalFire, Oak HC/FT"
ID.me,"Mclean, Virginia, United States",Active,For Profit,,,,,5,34,"Financial Services, Information Technology, Internet Services, Payments, Privacy and Security, Software","Cloud Data Services, Cyber Security, Fraud Detection, Identity Management, Privacy, Software",21,,9/15/2021,120000000,USD,120000000,Debt Financing,Venture - Series Unknown,,,,275245000,USD,275245000,10,"55,555,035","35,155,245",468,2073852,USD,2073852,"Lyft, SoftBank, Morgan Stanley, Airbnb, BoxGroup"
Overwolf,"Tel Aviv, Tel Aviv, Israel",Active,For Profit,7,1,,,5,11,"Apps, Gaming, Software, Sports","Apps, eSports, Gaming, PC Games, Video Games",5,Late Stage Venture,11/17/2021,75000000,USD,75000000,Series D,Series D,75000000,USD,75000000,149740000,USD,149740000,1,"5,677,217","4,664,045.83",354,,,,"Ubisoft, Andreessen Horowitz, Warner Music Group, Insight Partners, Griffin Gaming Partners"
o9 Solutions,"Dallas, Texas, United States",Active,For Profit,,,,,1,4,"Data and Analytics, Media and Entertainment, Software","Analytics, Digital Media, Enterprise Software, SaaS",8,Private Equity,1/26/2022,295000000,USD,295000000,Private Equity,Private Equity,295000000,USD,295000000,417000000,USD,417000000,3,57.431,"41,226.33",1.355,6625393,USD,6625393,"General Atlantic, Kohlberg Kravis Roberts, Generation Investment Management, Beyond Net Zero"
